timestamp, frame, x, y, z, qx, qy, qz, qw
465186.588780375, 000064, -3.1429753, 0.81290114, -1.6027197, 0.5195308, 0.07568283, -0.8501215, 0.040660013
465186.622127541, 000065, -3.1581416, 0.81369203, -1.5937275, 0.51886654, 0.07559128, -0.85042816, 0.042839643
465186.655474708, 000066, -3.1730838, 0.81484205, -1.5845975, 0.5181663, 0.0749662, -0.8508005, 0.044967804
465186.68882175, 000067, -3.1874876, 0.81620073, -1.575841, 0.5173401, 0.07461996, -0.8513016, 0.045570493
465186.722168833, 000068, -3.2016492, 0.8179092, -1.5674875, 0.51571, 0.07409158, -0.8523814, 0.044714957
465186.755515958, 000069, -3.2154176, 0.8197283, -1.5592978, 0.51353365, 0.07325359, -0.85385126, 0.043073718
465186.788863, 000070, -3.2282414, 0.82176155, -1.5511801, 0.51085985, 0.07118102, -0.8556585, 0.042474564
465186.822210208, 000071, -3.2407417, 0.82381326, -1.5431901, 0.5075403, 0.068144694, -0.8578324, 0.043389533
465186.85555725, 000072, -3.253161, 0.8255752, -1.5350779, 0.50398666, 0.064695604, -0.8601159, 0.044858053
465186.888904375, 000073, -3.2658093, 0.8268275, -1.5276152, 0.5008805, 0.062312786, -0.8620144, 0.046551216
465186.922251458, 000074, -3.279013, 0.82747495, -1.5196475, 0.49760616, 0.06208444, -0.8638071, 0.04869208
465186.9555985, 000075, -3.2927647, 0.8273861, -1.5112593, 0.49425673, 0.064104065, -0.8654918, 0.05024833
465186.988945666, 000076, -3.3073215, 0.82671076, -1.5031004, 0.490093, 0.06764457, -0.8675358, 0.051133774
465187.022292791, 000077, -3.3218043, 0.8257309, -1.4948256, 0.48468968, 0.07143194, -0.8701512, 0.053011622
465187.055639833, 000078, -3.336122, 0.8245934, -1.4865142, 0.4794953, 0.073947944, -0.8726677, 0.0553806
465187.088987, 000079, -3.3504937, 0.8233607, -1.4779168, 0.4766606, 0.07486299, -0.8740707, 0.05648541
465187.122334, 000080, -3.364624, 0.82200706, -1.4697677, 0.47477695, 0.07568453, -0.87501526, 0.056630567
465187.155681166, 000081, -3.378628, 0.820597, -1.4620466, 0.4721278, 0.077008955, -0.8763135, 0.056916974
465187.189028166, 000082, -3.3920636, 0.8190692, -1.4544135, 0.4676997, 0.0793268, -0.87840825, 0.05799246
465187.222375291, 000083, -3.4054196, 0.8174011, -1.4475138, 0.46125308, 0.08271907, -0.88137585, 0.059831418
465187.255722416, 000084, -3.418978, 0.8158888, -1.441087, 0.45460457, 0.085631415, -0.8844158, 0.06172954
465187.289069416, 000085, -3.4322994, 0.81460077, -1.4353931, 0.44860566, 0.088104025, -0.88714606, 0.06294827
465187.322416583, 000086, -3.446223, 0.81334865, -1.4290767, 0.44393882, 0.089605376, -0.8893647, 0.06260648
465187.35576375, 000087, -3.460692, 0.8121921, -1.4224228, 0.4399417, 0.089519955, -0.8914462, 0.061327647
465187.389110791, 000088, -3.475781, 0.810964, -1.4150662, 0.43511596, 0.09008113, -0.89383996, 0.060080543
465187.422457916, 000089, -3.4915166, 0.80963004, -1.4076736, 0.4292823, 0.09126537, -0.89659476, 0.059204407
465187.455804916, 000090, -3.5078769, 0.80825573, -1.4000729, 0.42366916, 0.092376664, -0.8992116, 0.058219157
465187.489152041, 000091, -3.525098, 0.8061612, -1.3916492, 0.4179329, 0.094054066, -0.90180916, 0.056798905
465187.522499166, 000092, -3.5424793, 0.80525625, -1.3836807, 0.41085547, 0.096675724, -0.90480757, 0.05634564
465187.555846208, 000093, -3.559894, 0.80517423, -1.3757677, 0.40393418, 0.099369146, -0.90768343, 0.05543965
465187.589193333, 000094, -3.5760217, 0.80537874, -1.367783, 0.39753902, 0.09998287, -0.9105622, 0.05331564
465187.622540375, 000095, -3.5925903, 0.8059791, -1.3598349, 0.39128828, 0.10098071, -0.9133321, 0.050207153
465187.6558875, 000096, -3.6092281, 0.8069813, -1.3517373, 0.38448223, 0.10069406, -0.91639316, 0.04751474
465187.689234541, 000097, -3.6251755, 0.80721194, -1.3434689, 0.37642413, 0.101768695, -0.9197199, 0.04542483
465187.72258175, 000098, -3.6406744, 0.80788416, -1.3353436, 0.3681084, 0.102958634, -0.923054, 0.04320868
465187.755928833, 000099, -3.655534, 0.8089689, -1.3277973, 0.35918275, 0.10370809, -0.9265739, 0.04114752
465187.789275875, 000100, -3.6682677, 0.8098983, -1.3206546, 0.35075045, 0.103527226, -0.92989486, 0.039391212
465187.822622958, 000101, -3.6815844, 0.8105228, -1.3133919, 0.34330916, 0.10402728, -0.9326855, 0.03761412
